Country,Country Code,Year,Item,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
Afghanistan,AFG,2017,Eggs,6.4,0.6,0.4
Afghanistan,AFG,2017,Maize and products,8.9,0.2,0.1
Afghanistan,AFG,2017,Milk - Excluding Butter,99.5,6.1,4.4
Afghanistan,AFG,2017,"Pulses, Other and products",22.1,1.7,0.3
Afghanistan,AFG,2017,Rice and products,174.0,3.5,0.5
Afghanistan,AFG,2017,Wheat and products,1403.3,42.2,6.6
Albania,ALB,2017,Eggs,56.9,4.4,4.1
Albania,ALB,2017,Maize and products,21.2,0.4,0.2
Albania,ALB,2017,Milk - Excluding Butter,673.5,36.4,41.5
Albania,ALB,2017,"Pulses, Other and products",2.9,0.2,0.0
Albania,ALB,2017,Rice and products,65.6,1.3,0.2
Albania,ALB,2017,Wheat and products,963.5,29.7,6.2
Algeria,DZA,2017,Eggs,24.7,2.2,1.7
Algeria,DZA,2017,Maize and products,119.3,2.4,1.0
Algeria,DZA,2017,Milk - Excluding Butter,272.6,15.5,13.9
Algeria,DZA,2017,"Pulses, Other and products",47.7,3.3,0.5
Algeria,DZA,2017,Rice and products,25.0,0.5,0.1
Algeria,DZA,2017,Wheat and products,1243.0,39.2,5.9
Andorra,AND,2017,Eggs,None,None,None
Andorra,AND,2017,Maize and products,None,None,None
Andorra,AND,2017,Milk - Excluding Butter,None,None,None
Andorra,AND,2017,"Pulses, Other and products",None,None,None
Andorra,AND,2017,Rice and products,None,None,None
Andorra,AND,2017,Wheat and products,None,None,None
Angola,AGO,2017,Eggs,0.3,0.0,0.0
Angola,AGO,2017,Maize and products,380.9,7.9,3.2
Angola,AGO,2017,Milk - Excluding Butter,23.2,1.2,1.2
Angola,AGO,2017,"Pulses, Other and products",7.0,0.4,0.1
Angola,AGO,2017,Rice and products,127.2,2.6,0.3
Angola,AGO,2017,Wheat and products,237.0,7.4,1.6
Antigua and Barbuda,ATG,2017,Eggs,9.8,0.9,0.7
Antigua and Barbuda,ATG,2017,Maize and products,55.7,1.5,0.5
Antigua and Barbuda,ATG,2017,Milk - Excluding Butter,161.7,8.0,9.6
Antigua and Barbuda,ATG,2017,"Pulses, Other and products",9.2,0.7,0.1
Antigua and Barbuda,ATG,2017,Rice and products,124.2,2.9,0.9
Antigua and Barbuda,ATG,2017,Wheat and products,404.0,11.8,4.2
Argentina,ARG,2017,Eggs,54.7,4.9,3.8
Argentina,ARG,2017,Maize and products,90.2,1.9,0.8
Argentina,ARG,2017,Milk - Excluding Butter,244.1,13.4,15.7
Argentina,ARG,2017,"Pulses, Other and products",6.0,0.5,0.0
Argentina,ARG,2017,Rice and products,83.8,1.8,0.3
Argentina,ARG,2017,Wheat and products,836.5,26.3,4.2
Armenia,ARM,2017,Eggs,40.7,3.7,2.8
Armenia,ARM,2017,Maize and products,17.9,0.4,0.2
Armenia,ARM,2017,Milk - Excluding Butter,442.2,21.9,27.0
Armenia,ARM,2017,"Pulses, Other and products",8.1,0.6,0.1
Armenia,ARM,2017,Rice and products,31.3,0.6,0.1
Armenia,ARM,2017,Wheat and products,907.5,28.3,4.8
Australia,AUS,2017,Eggs,28.3,2.5,2.0
Australia,AUS,2017,Maize and products,39.1,0.9,0.3
Australia,AUS,2017,Milk - Excluding Butter,377.1,21.5,22.8
Australia,AUS,2017,"Pulses, Other and products",4.5,0.3,0.1
Australia,AUS,2017,Rice and products,87.3,1.8,0.2
Australia,AUS,2017,Wheat and products,557.8,17.9,4.8
Austria,AUT,2017,Eggs,51.8,4.6,3.6
Austria,AUT,2017,Maize and products,106.2,2.3,0.8
Austria,AUT,2017,Milk - Excluding Butter,311.1,20.2,20.1
Austria,AUT,2017,"Pulses, Other and products",5.4,0.4,0.1
Austria,AUT,2017,Rice and products,36.5,0.7,0.1
Austria,AUT,2017,Wheat and products,665.6,21.7,3.6
Azerbaijan,AZE,2017,Eggs,31.6,2.8,2.2
Azerbaijan,AZE,2017,Maize and products,101.4,2.8,0.8
Azerbaijan,AZE,2017,Milk - Excluding Butter,266.7,14.4,16.4
Azerbaijan,AZE,2017,"Pulses, Other and products",0.0,0.0,0.0
Azerbaijan,AZE,2017,Rice and products,54.8,1.1,0.2
Azerbaijan,AZE,2017,Wheat and products,1429.4,44.8,7.4
Bahamas,BHS,2017,Eggs,26.6,2.1,1.9
Bahamas,BHS,2017,Maize and products,96.6,2.1,0.8
Bahamas,BHS,2017,Milk - Excluding Butter,151.5,8.0,9.5
Bahamas,BHS,2017,"Pulses, Other and products",4.0,0.3,0.0
Bahamas,BHS,2017,Rice and products,215.4,4.5,0.6
Bahamas,BHS,2017,Wheat and products,336.7,8.6,5.7
Bahrain,BHR,2017,Eggs,None,None,None
Bahrain,BHR,2017,Maize and products,None,None,None
Bahrain,BHR,2017,Milk - Excluding Butter,None,None,None
Bahrain,BHR,2017,"Pulses, Other and products",None,None,None
Bahrain,BHR,2017,Rice and products,None,None,None
Bahrain,BHR,2017,Wheat and products,None,None,None
Bangladesh,BGD,2017,Eggs,13.1,1.1,0.9
Bangladesh,BGD,2017,Maize and products,6.3,0.2,0.1
Bangladesh,BGD,2017,Milk - Excluding Butter,40.5,2.1,2.3
Bangladesh,BGD,2017,"Pulses, Other and products",37.5,2.7,0.3
Bangladesh,BGD,2017,Rice and products,1684.3,33.3,4.3
Bangladesh,BGD,2017,Wheat and products,155.6,4.9,0.7
Barbados,BRB,2017,Eggs,33.5,3.0,2.3
Barbados,BRB,2017,Maize and products,117.7,2.6,0.9
Barbados,BRB,2017,Milk - Excluding Butter,186.6,9.5,10.6
Barbados,BRB,2017,"Pulses, Other and products",48.6,3.6,0.6
Barbados,BRB,2017,Rice and products,167.5,3.7,0.9
Barbados,BRB,2017,Wheat and products,510.8,15.2,4.4
Belarus,BLR,2017,Eggs,45.4,4.1,3.1
Belarus,BLR,2017,Maize and products,4.4,0.1,0.0
Belarus,BLR,2017,Milk - Excluding Butter,218.3,13.3,9.2
Belarus,BLR,2017,"Pulses, Other and products",0.1,0.0,0.0
Belarus,BLR,2017,Rice and products,27.6,0.6,0.1
Belarus,BLR,2017,Wheat and products,517.5,13.4,9.0
Belgium,BEL,2017,Eggs,32.0,2.9,2.2
Belgium,BEL,2017,Maize and products,8.4,0.2,0.1
Belgium,BEL,2017,Milk - Excluding Butter,461.9,27.0,28.1
Belgium,BEL,2017,"Pulses, Other and products",1.6,0.1,0.0
Belgium,BEL,2017,Rice and products,87.3,1.8,0.2
Belgium,BEL,2017,Wheat and products,728.1,23.0,3.6
Belize,BLZ,2017,Eggs,16.2,1.5,1.1
Belize,BLZ,2017,Maize and products,390.8,8.3,3.3
Belize,BLZ,2017,Milk - Excluding Butter,114.6,7.0,4.9
Belize,BLZ,2017,"Pulses, Other and products",2.5,0.2,0.0
Belize,BLZ,2017,Rice and products,238.3,4.9,0.6
Belize,BLZ,2017,Wheat and products,366.4,10.8,3.6
Benin,BEN,2017,Eggs,None,None,None
Benin,BEN,2017,Maize and products,None,None,None
Benin,BEN,2017,Milk - Excluding Butter,None,None,None
Benin,BEN,2017,"Pulses, Other and products",None,None,None
Benin,BEN,2017,Rice and products,None,None,None
Benin,BEN,2017,Wheat and products,None,None,None
Bhutan,BTN,2017,Eggs,None,None,None
Bhutan,BTN,2017,Maize and products,None,None,None
Bhutan,BTN,2017,Milk - Excluding Butter,None,None,None
Bhutan,BTN,2017,"Pulses, Other and products",None,None,None
Bhutan,BTN,2017,Rice and products,None,None,None
Bhutan,BTN,2017,Wheat and products,None,None,None
Bolivia,BOL,2017,Eggs,None,None,None
Bolivia,BOL,2017,Maize and products,None,None,None
Bolivia,BOL,2017,Milk - Excluding Butter,None,None,None
Bolivia,BOL,2017,"Pulses, Other and products",None,None,None
Bolivia,BOL,2017,Rice and products,None,None,None
Bolivia,BOL,2017,Wheat and products,None,None,None
Bosnia and Herzegovina,BIH,2017,Eggs,18.9,1.7,1.3
Bosnia and Herzegovina,BIH,2017,Maize and products,209.7,4.4,1.8
Bosnia and Herzegovina,BIH,2017,Milk - Excluding Butter,336.3,16.8,20.5
Bosnia and Herzegovina,BIH,2017,"Pulses, Other and products",14.7,0.9,0.2
Bosnia and Herzegovina,BIH,2017,Rice and products,18.3,0.4,0.1
Bosnia and Herzegovina,BIH,2017,Wheat and products,1006.0,32.3,6.4
Botswana,BWA,2017,Eggs,3.7,0.3,0.3
Botswana,BWA,2017,Maize and products,732.3,15.3,6.2
Botswana,BWA,2017,Milk - Excluding Butter,100.4,5.3,5.0
Botswana,BWA,2017,"Pulses, Other and products",14.6,1.0,0.2
Botswana,BWA,2017,Rice and products,110.3,2.2,0.3
Botswana,BWA,2017,Wheat and products,403.1,12.3,3.6
Brazil,BRA,2017,Eggs,37.6,3.3,2.6
Brazil,BRA,2017,Maize and products,242.3,5.1,2.1
Brazil,BRA,2017,Milk - Excluding Butter,268.1,13.0,15.3
Brazil,BRA,2017,"Pulses, Other and products",1.1,0.1,0.0
Brazil,BRA,2017,Rice and products,319.8,6.5,0.8
Brazil,BRA,2017,Wheat and products,342.2,10.8,1.7
Brunei,BRN,2017,Eggs,None,None,None
Brunei,BRN,2017,Maize and products,None,None,None
Brunei,BRN,2017,Milk - Excluding Butter,None,None,None
Brunei,BRN,2017,"Pulses, Other and products",None,None,None
Brunei,BRN,2017,Rice and products,None,None,None
Brunei,BRN,2017,Wheat and products,None,None,None
Bulgaria,BGR,2017,Eggs,29.5,2.7,2.0
Bulgaria,BGR,2017,Maize and products,269.1,5.6,2.3
Bulgaria,BGR,2017,Milk - Excluding Butter,280.2,16.9,17.5
Bulgaria,BGR,2017,"Pulses, Other and products",4.7,0.4,0.0
Bulgaria,BGR,2017,Rice and products,18.4,0.4,0.1
Bulgaria,BGR,2017,Wheat and products,824.2,26.0,3.9
Burkina Faso,BFA,2017,Eggs,6.2,0.6,0.4
Burkina Faso,BFA,2017,Maize and products,657.6,13.6,5.6
Burkina Faso,BFA,2017,Milk - Excluding Butter,47.9,2.4,2.7
Burkina Faso,BFA,2017,"Pulses, Other and products",146.3,10.1,1.0
Burkina Faso,BFA,2017,Rice and products,324.6,6.8,1.3
Burkina Faso,BFA,2017,Wheat and products,101.7,3.2,0.6
Burundi,BDI,2017,Eggs,None,None,None
Burundi,BDI,2017,Maize and products,None,None,None
Burundi,BDI,2017,Milk - Excluding Butter,None,None,None
Burundi,BDI,2017,"Pulses, Other and products",None,None,None
Burundi,BDI,2017,Rice and products,None,None,None
Burundi,BDI,2017,Wheat and products,None,None,None
Cabo Verde,CPV,2017,Eggs,21.0,1.8,1.5
Cabo Verde,CPV,2017,Maize and products,437.1,9.1,3.7
Cabo Verde,CPV,2017,Milk - Excluding Butter,197.7,10.8,10.2
Cabo Verde,CPV,2017,"Pulses, Other and products",92.2,6.9,1.3
Cabo Verde,CPV,2017,Rice and products,432.6,8.8,1.1
Cabo Verde,CPV,2017,Wheat and products,334.6,10.5,2.9
Cambodia,KHM,2017,Eggs,4.3,0.4,0.3
Cambodia,KHM,2017,Maize and products,5.2,0.1,0.0
Cambodia,KHM,2017,Milk - Excluding Butter,10.4,0.5,0.5
Cambodia,KHM,2017,"Pulses, Other and products",0.2,0.0,0.0
Cambodia,KHM,2017,Rice and products,1352.6,27.5,3.5
Cambodia,KHM,2017,Wheat and products,34.1,1.0,0.3
Cameroon,CMR,2017,Eggs,1.3,0.1,0.1
Cameroon,CMR,2017,Maize and products,378.6,7.8,3.2
Cameroon,CMR,2017,Milk - Excluding Butter,25.8,1.3,1.5
Cameroon,CMR,2017,"Pulses, Other and products",76.7,5.2,0.6
Cameroon,CMR,2017,Rice and products,280.1,5.9,1.1
Cameroon,CMR,2017,Wheat and products,169.1,5.6,0.9
Canada,CAN,2017,Eggs,50.4,4.5,3.5
Canada,CAN,2017,Maize and products,130.0,2.7,1.1
Canada,CAN,2017,Milk - Excluding Butter,204.9,14.2,13.3
Canada,CAN,2017,"Pulses, Other and products",99.5,7.5,0.5
Canada,CAN,2017,Rice and products,90.4,1.9,0.3
Canada,CAN,2017,Wheat and products,540.8,17.0,2.6
Central African Republic,CAF,2017,Eggs,None,None,None
Central African Republic,CAF,2017,Maize and products,None,None,None
Central African Republic,CAF,2017,Milk - Excluding Butter,None,None,None
Central African Republic,CAF,2017,"Pulses, Other and products",None,None,None
Central African Republic,CAF,2017,Rice and products,None,None,None
Central African Republic,CAF,2017,Wheat and products,None,None,None
Chad,TCD,2017,Eggs,None,None,None
Chad,TCD,2017,Maize and products,None,None,None
Chad,TCD,2017,Milk - Excluding Butter,None,None,None
Chad,TCD,2017,"Pulses, Other and products",None,None,None
Chad,TCD,2017,Rice and products,None,None,None
Chad,TCD,2017,Wheat and products,None,None,None
Chile,CHL,2017,Eggs,34.6,3.1,2.4
Chile,CHL,2017,Maize and products,196.8,4.1,1.7
Chile,CHL,2017,Milk - Excluding Butter,165.9,10.3,9.7
Chile,CHL,2017,"Pulses, Other and products",18.8,1.6,0.2
Chile,CHL,2017,Rice and products,82.1,1.7,0.2
Chile,CHL,2017,Wheat and products,802.5,25.5,4.5
China,CHN,2017,Eggs,72.4,6.3,5.1
China,CHN,2017,Maize and products,53.0,1.1,0.4
China,CHN,2017,Milk - Excluding Butter,53.2,2.6,3.1
China,CHN,2017,"Pulses, Other and products",7.5,0.6,0.1
China,CHN,2017,Rice and products,837.8,17.4,3.4
China,CHN,2017,Wheat and products,609.6,21.6,4.1
Colombia,COL,2017,Eggs,46.4,4.2,3.2
Colombia,COL,2017,Maize and products,273.0,5.8,2.4
Colombia,COL,2017,Milk - Excluding Butter,211.2,10.2,12.6
Colombia,COL,2017,"Pulses, Other and products",16.7,1.3,0.1
Colombia,COL,2017,Rice and products,318.3,6.5,0.8
Colombia,COL,2017,Wheat and products,226.9,7.1,1.2
Comoros,COM,2017,Eggs,5.5,0.5,0.4
Comoros,COM,2017,Maize and products,59.0,1.2,0.5
Comoros,COM,2017,Milk - Excluding Butter,40.4,1.9,2.1
Comoros,COM,2017,"Pulses, Other and products",181.8,13.6,2.6
Comoros,COM,2017,Rice and products,816.2,16.6,2.1
Comoros,COM,2017,Wheat and products,187.5,5.5,1.7
Congo,COG,2017,Eggs,1.9,0.2,0.1
Congo,COG,2017,Maize and products,30.0,0.6,0.3
Congo,COG,2017,Milk - Excluding Butter,16.3,0.8,0.8
Congo,COG,2017,"Pulses, Other and products",0.0,0.0,0.0
Congo,COG,2017,Rice and products,109.0,2.2,0.3
Congo,COG,2017,Wheat and products,290.9,9.0,1.9
Costa Rica,CRI,2017,Eggs,39.6,3.5,2.7
Costa Rica,CRI,2017,Maize and products,151.6,3.3,1.3
Costa Rica,CRI,2017,Milk - Excluding Butter,321.6,16.2,18.4
Costa Rica,CRI,2017,"Pulses, Other and products",4.0,0.3,0.0
Costa Rica,CRI,2017,Rice and products,387.6,7.9,1.1
Costa Rica,CRI,2017,Wheat and products,297.1,9.2,1.6
Croatia,HRV,2017,Eggs,33.8,3.0,2.3
Croatia,HRV,2017,Maize and products,76.5,1.7,0.6
Croatia,HRV,2017,Milk - Excluding Butter,364.7,21.3,22.6
Croatia,HRV,2017,"Pulses, Other and products",1.4,0.1,0.0
Croatia,HRV,2017,Rice and products,24.7,0.5,0.1
Croatia,HRV,2017,Wheat and products,746.8,22.0,7.0
Cuba,CUB,2017,Eggs,32.4,2.9,2.2
Cuba,CUB,2017,Maize and products,11.8,0.2,0.1
Cuba,CUB,2017,Milk - Excluding Butter,164.5,9.4,8.3
Cuba,CUB,2017,"Pulses, Other and products",54.4,4.1,0.8
Cuba,CUB,2017,Rice and products,603.6,12.2,1.6
Cuba,CUB,2017,Wheat and products,473.0,14.8,2.5
Cyprus,CYP,2017,Eggs,27.2,2.4,1.9
Cyprus,CYP,2017,Maize and products,120.1,3.0,1.3
Cyprus,CYP,2017,Milk - Excluding Butter,235.0,12.2,14.0
Cyprus,CYP,2017,"Pulses, Other and products",15.1,1.1,0.1
Cyprus,CYP,2017,Rice and products,46.3,1.0,0.1
Cyprus,CYP,2017,Wheat and products,841.7,25.2,7.0
Czechia,CZE,2017,Eggs,32.0,2.9,2.2
Czechia,CZE,2017,Maize and products,None,None,None
Czechia,CZE,2017,Milk - Excluding Butter,299.7,20.2,18.2
Czechia,CZE,2017,"Pulses, Other and products",5.8,0.4,0.0
Czechia,CZE,2017,Rice and products,44.9,0.9,0.1
Czechia,CZE,2017,Wheat and products,602.3,18.7,3.4
Côte d'Ivoire,CIV,2017,Eggs,6.2,0.6,0.4
Côte d'Ivoire,CIV,2017,Maize and products,146.9,3.0,1.3
Côte d'Ivoire,CIV,2017,Milk - Excluding Butter,9.1,0.5,0.4
Côte d'Ivoire,CIV,2017,"Pulses, Other and products",5.4,0.4,0.1
Côte d'Ivoire,CIV,2017,Rice and products,792.7,16.6,3.1
Côte d'Ivoire,CIV,2017,Wheat and products,154.7,4.5,1.6
Democratic Republic of the Congo,COD,2017,Eggs,0.3,0.0,0.0
Democratic Republic of the Congo,COD,2017,Maize and products,199.0,4.1,1.7
Democratic Republic of the Congo,COD,2017,Milk - Excluding Butter,1.2,0.1,0.1
Democratic Republic of the Congo,COD,2017,"Pulses, Other and products",13.7,1.0,0.1
Democratic Republic of the Congo,COD,2017,Rice and products,87.4,1.8,0.2
Democratic Republic of the Congo,COD,2017,Wheat and products,42.6,1.3,0.3
Denmark,DNK,2017,Eggs,60.6,5.4,4.2
Denmark,DNK,2017,Maize and products,32.0,0.7,0.3
Denmark,DNK,2017,Milk - Excluding Butter,464.1,28.6,29.7
Denmark,DNK,2017,"Pulses, Other and products",1.9,0.1,0.0
Denmark,DNK,2017,Rice and products,43.5,0.9,0.1
Denmark,DNK,2017,Wheat and products,630.6,18.5,6.1
Djibouti,DJI,2017,Eggs,6.0,0.5,0.4
Djibouti,DJI,2017,Maize and products,2.2,0.1,0.0
Djibouti,DJI,2017,Milk - Excluding Butter,120.1,6.4,6.3
Djibouti,DJI,2017,"Pulses, Other and products",10.4,0.8,0.1
Djibouti,DJI,2017,Rice and products,473.7,9.6,1.2
Djibouti,DJI,2017,Wheat and products,979.3,31.0,5.4
Dominica,DMA,2017,Eggs,None,None,None
Dominica,DMA,2017,Maize and products,None,None,None
Dominica,DMA,2017,Milk - Excluding Butter,None,None,None
Dominica,DMA,2017,"Pulses, Other and products",None,None,None
Dominica,DMA,2017,Rice and products,None,None,None
Dominica,DMA,2017,Wheat and products,None,None,None
Dominican Republic,DOM,2017,Eggs,32.3,2.9,2.2
Dominican Republic,DOM,2017,Maize and products,51.0,1.1,0.4
Dominican Republic,DOM,2017,Milk - Excluding Butter,187.6,9.9,10.5
Dominican Republic,DOM,2017,"Pulses, Other and products",26.8,1.9,0.2
Dominican Republic,DOM,2017,Rice and products,456.6,9.3,1.2
Dominican Republic,DOM,2017,Wheat and products,181.1,5.4,1.6
Ecuador,ECU,2017,Eggs,21.2,1.9,1.5
Ecuador,ECU,2017,Maize and products,338.2,7.0,2.9
Ecuador,ECU,2017,Milk - Excluding Butter,171.1,9.1,11.2
Ecuador,ECU,2017,"Pulses, Other and products",14.8,1.2,0.1
Ecuador,ECU,2017,Rice and products,342.6,7.0,0.9
Ecuador,ECU,2017,Wheat and products,325.8,10.2,1.7
Egypt,EGY,2017,Eggs,13.8,1.2,1.0
Egypt,EGY,2017,Maize and products,523.8,11.5,4.9
Egypt,EGY,2017,Milk - Excluding Butter,90.1,5.2,6.1
Egypt,EGY,2017,"Pulses, Other and products",35.8,2.8,0.2
Egypt,EGY,2017,Rice and products,325.1,6.6,0.9
Egypt,EGY,2017,Wheat and products,1047.0,33.1,4.9
El Salvador,SLV,2017,Eggs,31.9,2.9,2.2
El Salvador,SLV,2017,Maize and products,696.8,14.4,5.9
El Salvador,SLV,2017,Milk - Excluding Butter,209.2,11.1,13.3
El Salvador,SLV,2017,"Pulses, Other and products",0.3,0.0,0.0
El Salvador,SLV,2017,Rice and products,93.8,1.9,0.2
El Salvador,SLV,2017,Wheat and products,304.6,9.3,2.1
Equatorial Guinea,GNQ,2017,Eggs,None,None,None
Equatorial Guinea,GNQ,2017,Maize and products,None,None,None
Equatorial Guinea,GNQ,2017,Milk - Excluding Butter,None,None,None
Equatorial Guinea,GNQ,2017,"Pulses, Other and products",None,None,None
Equatorial Guinea,GNQ,2017,Rice and products,None,None,None
Equatorial Guinea,GNQ,2017,Wheat and products,None,None,None
Eritrea,ERI,2017,Eggs,None,None,None
Eritrea,ERI,2017,Maize and products,None,None,None
Eritrea,ERI,2017,Milk - Excluding Butter,None,None,None
Eritrea,ERI,2017,"Pulses, Other and products",None,None,None
Eritrea,ERI,2017,Rice and products,None,None,None
Eritrea,ERI,2017,Wheat and products,None,None,None
Estonia,EST,2017,Eggs,44.8,3.9,3.1
Estonia,EST,2017,Maize and products,62.2,1.3,0.5
Estonia,EST,2017,Milk - Excluding Butter,522.7,33.2,31.9
Estonia,EST,2017,"Pulses, Other and products",0.0,0.0,0.0
Estonia,EST,2017,Rice and products,23.9,0.5,0.1
Estonia,EST,2017,Wheat and products,461.2,15.3,4.3
Eswatini,SWZ,2017,Eggs,6.2,0.6,0.4
Eswatini,SWZ,2017,Maize and products,671.4,14.1,5.6
Eswatini,SWZ,2017,Milk - Excluding Butter,97.8,4.6,5.3
Eswatini,SWZ,2017,"Pulses, Other and products",15.1,1.1,0.2
Eswatini,SWZ,2017,Rice and products,220.2,4.5,0.6
Eswatini,SWZ,2017,Wheat and products,256.0,7.3,2.7
Ethiopia,ETH,2017,Eggs,1.4,0.1,0.1
Ethiopia,ETH,2017,Maize and products,541.0,11.2,4.6
Ethiopia,ETH,2017,Milk - Excluding Butter,54.6,2.7,3.1
Ethiopia,ETH,2017,"Pulses, Other and products",135.4,10.1,1.1
Ethiopia,ETH,2017,Rice and products,40.7,0.8,0.1
Ethiopia,ETH,2017,Wheat and products,422.2,13.4,2.0
Fiji,FJI,2017,Eggs,19.9,1.8,1.4
Fiji,FJI,2017,Maize and products,16.8,0.4,0.2
Fiji,FJI,2017,Milk - Excluding Butter,49.5,3.7,1.5
Fiji,FJI,2017,"Pulses, Other and products",18.8,1.4,0.3
Fiji,FJI,2017,Rice and products,426.2,8.6,1.1
Fiji,FJI,2017,Wheat and products,405.1,12.4,2.2
Finland,FIN,2017,Eggs,38.3,3.4,2.7
Finland,FIN,2017,Maize and products,0.2,0.0,0.0
Finland,FIN,2017,Milk - Excluding Butter,546.1,33.7,33.6
Finland,FIN,2017,"Pulses, Other and products",0.4,0.0,0.0
Finland,FIN,2017,Rice and products,43.1,0.9,0.1
Finland,FIN,2017,Wheat and products,627.4,18.4,8.5
France,FRA,2017,Eggs,43.4,3.9,3.0
France,FRA,2017,Maize and products,85.1,1.8,0.7
France,FRA,2017,Milk - Excluding Butter,351.2,24.1,22.4
France,FRA,2017,"Pulses, Other and products",12.0,0.9,0.1
France,FRA,2017,Rice and products,65.4,1.4,0.2
France,FRA,2017,Wheat and products,760.3,23.9,4.2
Gabon,GAB,2017,Eggs,3.1,0.3,0.2
Gabon,GAB,2017,Maize and products,131.5,2.7,1.1
Gabon,GAB,2017,Milk - Excluding Butter,58.2,3.1,2.9
Gabon,GAB,2017,"Pulses, Other and products",1.5,0.1,0.0
Gabon,GAB,2017,Rice and products,282.6,5.8,0.7
Gabon,GAB,2017,Wheat and products,397.5,12.2,2.7
Gambia,GMB,2017,Eggs,4.5,0.4,0.3
Gambia,GMB,2017,Maize and products,118.4,2.5,1.0
Gambia,GMB,2017,Milk - Excluding Butter,115.4,5.8,5.1
Gambia,GMB,2017,"Pulses, Other and products",7.3,0.5,0.1
Gambia,GMB,2017,Rice and products,720.1,14.5,1.9
Gambia,GMB,2017,Wheat and products,327.6,10.2,2.0
Georgia,GEO,2017,Eggs,33.8,3.0,2.3
Georgia,GEO,2017,Maize and products,174.2,3.6,1.5
Georgia,GEO,2017,Milk - Excluding Butter,294.1,13.9,17.2
Georgia,GEO,2017,"Pulses, Other and products",0.9,0.1,0.0
Georgia,GEO,2017,Rice and products,25.3,0.5,0.1
Georgia,GEO,2017,Wheat and products,1058.1,32.7,6.3
Germany,DEU,2017,Eggs,45.7,4.0,3.2
Germany,DEU,2017,Maize and products,74.4,1.5,0.6
Germany,DEU,2017,Milk - Excluding Butter,405.4,27.2,21.8
Germany,DEU,2017,"Pulses, Other and products",2.9,0.2,0.0
Germany,DEU,2017,Rice and products,32.7,0.7,0.1
Germany,DEU,2017,Wheat and products,667.1,21.1,3.1
Ghana,GHA,2017,Eggs,3.9,0.3,0.3
Ghana,GHA,2017,Maize and products,192.9,4.0,1.6
Ghana,GHA,2017,Milk - Excluding Butter,13.8,0.8,0.4
Ghana,GHA,2017,"Pulses, Other and products",6.9,0.5,0.1
Ghana,GHA,2017,Rice and products,288.4,5.8,0.8
Ghana,GHA,2017,Wheat and products,147.0,4.6,0.9
Greece,GRC,2017,Eggs,32.2,2.9,2.2
Greece,GRC,2017,Maize and products,12.8,0.3,0.1
Greece,GRC,2017,Milk - Excluding Butter,407.1,23.7,27.9
Greece,GRC,2017,"Pulses, Other and products",20.4,1.5,0.2
Greece,GRC,2017,Rice and products,25.0,0.5,0.1
Greece,GRC,2017,Wheat and products,877.3,26.7,6.4
Grenada,GRD,2017,Eggs,32.1,2.9,2.2
Grenada,GRD,2017,Maize and products,26.0,0.6,0.2
Grenada,GRD,2017,Milk - Excluding Butter,210.1,11.2,8.9
Grenada,GRD,2017,"Pulses, Other and products",26.1,1.8,0.1
Grenada,GRD,2017,Rice and products,103.4,2.3,0.6
Grenada,GRD,2017,Wheat and products,401.8,10.8,6.1
Guatemala,GTM,2017,Eggs,54.2,4.9,3.8
Guatemala,GTM,2017,Maize and products,848.4,17.7,7.2
Guatemala,GTM,2017,Milk - Excluding Butter,73.8,4.1,4.4
Guatemala,GTM,2017,"Pulses, Other and products",24.2,1.9,0.2
Guatemala,GTM,2017,Rice and products,57.1,1.2,0.2
Guatemala,GTM,2017,Wheat and products,318.2,9.9,1.6
Guinea,GIN,2017,Eggs,6.6,0.6,0.5
Guinea,GIN,2017,Maize and products,92.9,1.9,0.8
Guinea,GIN,2017,Milk - Excluding Butter,40.6,2.0,2.3
Guinea,GIN,2017,"Pulses, Other and products",39.6,3.0,0.6
Guinea,GIN,2017,Rice and products,870.1,17.8,2.5
Guinea,GIN,2017,Wheat and products,135.9,4.1,1.0
Guinea-Bissau,GNB,2017,Eggs,6.1,0.5,0.4
Guinea-Bissau,GNB,2017,Maize and products,28.8,0.6,0.2
Guinea-Bissau,GNB,2017,Milk - Excluding Butter,39.1,2.0,2.3
Guinea-Bissau,GNB,2017,"Pulses, Other and products",15.4,1.1,0.2
Guinea-Bissau,GNB,2017,Rice and products,1131.0,23.0,3.0
Guinea-Bissau,GNB,2017,Wheat and products,150.0,4.7,1.0
Guyana,GUY,2017,Eggs,4.9,0.4,0.3
Guyana,GUY,2017,Maize and products,17.5,0.4,0.1
Guyana,GUY,2017,Milk - Excluding Butter,215.9,13.2,10.4
Guyana,GUY,2017,"Pulses, Other and products",20.9,1.3,0.3
Guyana,GUY,2017,Rice and products,726.1,14.8,1.9
Guyana,GUY,2017,Wheat and products,453.9,13.3,4.1
Haiti,HTI,2017,Eggs,2.3,0.2,0.2
Haiti,HTI,2017,Maize and products,246.1,5.1,2.1
Haiti,HTI,2017,Milk - Excluding Butter,26.5,1.3,1.5
Haiti,HTI,2017,"Pulses, Other and products",61.8,4.2,0.4
Haiti,HTI,2017,Rice and products,432.0,8.8,1.1
Haiti,HTI,2017,Wheat and products,276.4,8.4,2.1
Honduras,HND,2017,Eggs,14.9,1.3,1.0
Honduras,HND,2017,Maize and products,720.7,14.9,6.1
Honduras,HND,2017,Milk - Excluding Butter,111.8,5.5,6.4
