Domain Code,Country,Country Code,Year,Item,Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day)
FBSH,Benin,BEN,2003,Wheat and products,50.38,1.41,0.25
None,Bhutan,BTN,2003,Eggs,None,None,None
None,Bhutan,BTN,2003,Maize and products,None,None,None
None,Bhutan,BTN,2003,Milk - Excluding Butter,None,None,None
None,Bhutan,BTN,2003,"Pulses, Other and products",None,None,None
None,Bhutan,BTN,2003,Rice and products,None,None,None
None,Bhutan,BTN,2003,Wheat and products,None,None,None
FBSH,Bolivia,BOL,2003,Eggs,14.7,1.12,0.97
FBSH,Bolivia,BOL,2003,Maize and products,275.54,6.0,0.91
FBSH,Bolivia,BOL,2003,Milk - Excluding Butter,57.45,3.5,2.64
FBSH,Bolivia,BOL,2003,"Pulses, Other and products",14.97,1.04,0.1
FBSH,Bolivia,BOL,2003,Rice and products,242.23,4.79,0.4
FBSH,Bolivia,BOL,2003,Wheat and products,405.95,11.68,1.16
FBSH,Bosnia and Herzegovina,BIH,2003,Eggs,16.51,1.27,1.16
FBSH,Bosnia and Herzegovina,BIH,2003,Maize and products,817.35,18.91,2.7
FBSH,Bosnia and Herzegovina,BIH,2003,Milk - Excluding Butter,256.23,14.23,14.33
FBSH,Bosnia and Herzegovina,BIH,2003,"Pulses, Other and products",8.36,0.47,0.1
FBSH,Bosnia and Herzegovina,BIH,2003,Rice and products,13.22,0.25,0.03
FBSH,Bosnia and Herzegovina,BIH,2003,Wheat and products,590.29,17.56,2.14
FBSH,Botswana,BWA,2003,Eggs,9.69,0.8,0.67
FBSH,Botswana,BWA,2003,Maize and products,310.61,8.18,3.34
FBSH,Botswana,BWA,2003,Milk - Excluding Butter,135.64,8.57,6.37
FBSH,Botswana,BWA,2003,"Pulses, Other and products",106.03,6.86,0.62
FBSH,Botswana,BWA,2003,Rice and products,99.14,1.83,0.2
FBSH,Botswana,BWA,2003,Wheat and products,274.84,7.83,2.51
FBSH,Brazil,BRA,2003,Eggs,25.97,1.97,1.73
FBSH,Brazil,BRA,2003,Maize and products,218.9,4.83,0.86
FBSH,Brazil,BRA,2003,Milk - Excluding Butter,191.46,9.99,10.17
FBSH,Brazil,BRA,2003,"Pulses, Other and products",1.13,0.08,0.01
FBSH,Brazil,BRA,2003,Rice and products,365.09,7.2,0.61
FBSH,Brazil,BRA,2003,Wheat and products,400.03,10.49,1.53
FBSH,Brunei,BRN,2003,Eggs,63.65,5.02,4.49
FBSH,Brunei,BRN,2003,Maize and products,114.12,2.85,1.34
FBSH,Brunei,BRN,2003,Milk - Excluding Butter,125.77,7.49,5.15
FBSH,Brunei,BRN,2003,"Pulses, Other and products",14.87,0.97,0.1
FBSH,Brunei,BRN,2003,Rice and products,725.72,13.18,1.79
FBSH,Brunei,BRN,2003,Wheat and products,418.46,10.19,1.94
FBSH,Bulgaria,BGR,2003,Eggs,43.68,3.53,3.07
FBSH,Bulgaria,BGR,2003,Maize and products,108.4,2.51,0.36
FBSH,Bulgaria,BGR,2003,Milk - Excluding Butter,244.75,13.4,15.5
FBSH,Bulgaria,BGR,2003,"Pulses, Other and products",4.27,0.28,0.02
FBSH,Bulgaria,BGR,2003,Rice and products,42.24,0.88,0.21
FBSH,Bulgaria,BGR,2003,Wheat and products,900.53,28.5,3.24
FBSH,Burkina Faso,BFA,2003,Eggs,8.27,0.7,0.57
FBSH,Burkina Faso,BFA,2003,Maize and products,425.06,11.2,4.58
FBSH,Burkina Faso,BFA,2003,Milk - Excluding Butter,41.88,2.11,2.37
FBSH,Burkina Faso,BFA,2003,"Pulses, Other and products",102.67,6.55,0.64
FBSH,Burkina Faso,BFA,2003,Rice and products,159.88,3.02,0.26
FBSH,Burkina Faso,BFA,2003,Wheat and products,17.78,0.48,0.11
None,Burundi,BDI,2003,Eggs,None,None,None
None,Burundi,BDI,2003,Maize and products,None,None,None
None,Burundi,BDI,2003,Milk - Excluding Butter,None,None,None
None,Burundi,BDI,2003,"Pulses, Other and products",None,None,None
None,Burundi,BDI,2003,Rice and products,None,None,None
None,Burundi,BDI,2003,Wheat and products,None,None,None
FBSH,Cabo Verde,CPV,2003,Eggs,11.54,0.97,0.79
FBSH,Cabo Verde,CPV,2003,Maize and products,377.48,9.94,4.07
FBSH,Cabo Verde,CPV,2003,Milk - Excluding Butter,146.72,7.61,8.08
FBSH,Cabo Verde,CPV,2003,"Pulses, Other and products",49.84,3.21,0.31
FBSH,Cabo Verde,CPV,2003,Rice and products,452.26,8.7,0.64
FBSH,Cabo Verde,CPV,2003,Wheat and products,313.46,8.6,1.59
FBSH,Cambodia,KHM,2003,Eggs,4.6,0.35,0.33
FBSH,Cambodia,KHM,2003,Maize and products,91.82,2.28,0.86
FBSH,Cambodia,KHM,2003,Milk - Excluding Butter,6.06,0.26,0.23
FBSH,Cambodia,KHM,2003,"Pulses, Other and products",0.01,0.0,0.0
FBSH,Cambodia,KHM,2003,Rice and products,1489.14,30.36,4.92
FBSH,Cambodia,KHM,2003,Wheat and products,21.1,0.5,0.29
FBSH,Cameroon,CMR,2003,Eggs,1.88,0.16,0.13
FBSH,Cameroon,CMR,2003,Maize and products,289.42,7.62,3.12
FBSH,Cameroon,CMR,2003,Milk - Excluding Butter,28.43,1.45,1.56
FBSH,Cameroon,CMR,2003,"Pulses, Other and products",52.81,3.51,0.34
FBSH,Cameroon,CMR,2003,Rice and products,186.23,3.25,0.16
FBSH,Cameroon,CMR,2003,Wheat and products,121.03,3.45,0.43
FBSH,Canada,CAN,2003,Eggs,42.57,3.28,3.0
FBSH,Canada,CAN,2003,Maize and products,124.69,2.71,0.41
FBSH,Canada,CAN,2003,Milk - Excluding Butter,211.89,13.59,12.7
FBSH,Canada,CAN,2003,"Pulses, Other and products",42.74,2.96,0.24
FBSH,Canada,CAN,2003,Rice and products,63.7,1.21,0.12
FBSH,Canada,CAN,2003,Wheat and products,642.73,20.72,2.51
FBSH,Central African Republic,CAF,2003,Eggs,1.6,0.14,0.11
FBSH,Central African Republic,CAF,2003,Maize and products,229.48,6.05,2.47
FBSH,Central African Republic,CAF,2003,Milk - Excluding Butter,29.87,1.47,1.64
FBSH,Central African Republic,CAF,2003,"Pulses, Other and products",52.38,3.39,0.31
FBSH,Central African Republic,CAF,2003,Rice and products,57.04,1.1,0.08
FBSH,Central African Republic,CAF,2003,Wheat and products,64.28,1.81,0.21
FBSH,Chad,TCD,2003,Eggs,1.03,0.09,0.07
FBSH,Chad,TCD,2003,Maize and products,73.04,1.92,0.79
FBSH,Chad,TCD,2003,Milk - Excluding Butter,45.46,2.15,2.59
FBSH,Chad,TCD,2003,"Pulses, Other and products",30.01,1.54,0.51
FBSH,Chad,TCD,2003,Rice and products,70.97,1.37,0.1
FBSH,Chad,TCD,2003,Wheat and products,51.56,1.56,0.19
FBSH,Chile,CHL,2003,Eggs,22.24,1.69,1.47
FBSH,Chile,CHL,2003,Maize and products,156.38,4.07,1.86
FBSH,Chile,CHL,2003,Milk - Excluding Butter,159.92,9.77,8.41
FBSH,Chile,CHL,2003,"Pulses, Other and products",15.88,1.18,0.22
FBSH,Chile,CHL,2003,Rice and products,72.08,1.43,0.12
FBSH,Chile,CHL,2003,Wheat and products,924.18,24.98,2.98
FBSH,China,CHN,2003,Eggs,65.36,5.07,4.64
FBSH,China,CHN,2003,Maize and products,55.01,1.19,0.18
FBSH,China,CHN,2003,Milk - Excluding Butter,30.36,1.6,1.73
FBSH,China,CHN,2003,"Pulses, Other and products",6.37,0.43,0.04
FBSH,China,CHN,2003,Rice and products,789.16,14.53,3.01
FBSH,China,CHN,2003,Wheat and products,607.99,19.75,3.35
FBSH,Colombia,COL,2003,Eggs,30.97,2.36,2.05
FBSH,Colombia,COL,2003,Maize and products,319.71,7.31,1.22
FBSH,Colombia,COL,2003,Milk - Excluding Butter,209.95,12.49,10.47
FBSH,Colombia,COL,2003,"Pulses, Other and products",18.59,1.24,0.11
FBSH,Colombia,COL,2003,Rice and products,297.45,5.88,0.49
FBSH,Colombia,COL,2003,Wheat and products,223.5,5.95,0.64
None,Comoros,COM,2003,Eggs,None,None,None
None,Comoros,COM,2003,Maize and products,None,None,None
None,Comoros,COM,2003,Milk - Excluding Butter,None,None,None
None,Comoros,COM,2003,"Pulses, Other and products",None,None,None
None,Comoros,COM,2003,Rice and products,None,None,None
None,Comoros,COM,2003,Wheat and products,None,None,None
FBSH,Congo,COG,2003,Eggs,2.02,0.17,0.14
FBSH,Congo,COG,2003,Maize and products,56.56,1.49,0.61
FBSH,Congo,COG,2003,Milk - Excluding Butter,32.44,1.65,1.54
FBSH,Congo,COG,2003,"Pulses, Other and products",7.01,0.45,0.04
FBSH,Congo,COG,2003,Rice and products,125.7,2.47,0.21
