Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Barbados,BRB,11674.67365,11639.51605,11760.45247,12075.9587,12886.36653,14214.42022,15619.6006,17235.43964,17565.693,16294.90995,20610.51507,20508.14988,20804.115,20410.20654,20192.70841,20424.20875,20295.56721,20284.57621,21381.24263,21912.15012,19194.49197,21079.61453,24387.03873,25583.87878
Belarus,BLR,1276.288034,1244.373185,1479.380663,1819.526531,2378.337005,3126.071767,3848.223503,4735.481076,6376.175692,5352.488092,6034.678852,6527.659343,6953.215917,7998.080205,8341.318093,5967.055951,5039.775609,5785.544919,6360.037502,6837.773396,6542.8558,7489.718947,7994.648061,7896.753883
Belgium,BEL,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44923.34001,44197.39367,47760.82988,44874.17092,46964.59468,47995.7787,40893.80454,41854.54983,44035.32394,47487.21004,46716.62275,45906.28758,51658.23829,50605.74967,55291.47545
Belize,BLZ,4726.506755,4718.777151,4858.860626,4959.740124,5153.713083,5270.414791,5524.781678,5762.210233,5711.814589,5399.671,5461.40736,5596.052222,5732.665199,5957.349536,6128.120531,6154.622642,6140.867139,6071.854518,6011.990369,6171.614498,5238.540782,6142.989306,7068.21728,7424.758213
Benin,BEN,487.4241414,492.4014995,546.4638297,676.0028781,758.6958038,779.4377778,809.1470725,912.3382472,1060.602545,1024.102779,973.2442549,1059.413589,1071.525837,1168.926993,1204.399187,1002.418869,1010.533896,1054.974081,1151.74097,1130.821353,1200.194266,1318.651581,1266.42711,1394.177847
Bhutan,BTN,771.9249114,812.2382108,895.7994899,1022.382403,1130.359346,1299.949386,1405.607162,1850.415704,1919.597749,1918.395992,2435.579806,2787.979676,2751.212886,2679.952172,2849.499986,2954.040819,3152.309051,3435.288047,3400.204172,3576.879871,3191.66907,3570.61258,3711.32768,3831.325355
Bolivia,BOL,975.7770604,930.1682272,888.221329,893.0137602,953.1918932,1020.123262,1202.711504,1354.549059,1692.672485,1731.181721,1929.783731,2315.521219,2575.598571,2870.02377,3041.435032,2996.012898,3035.873477,4048.401197,4206.855294,4203.154929,3580.967618,4010.760537,4219.461137,4274.708205
Bosnia and Herzegovina,BIH,1338.480596,1387.893629,1606.546745,2033.947009,2452.686092,2739.610769,3166.128653,3931.489487,4841.693119,4539.918638,4506.478285,4982.693758,4693.788991,5034.566348,5206.065735,4662.258692,4928.56659,5345.019788,6047.847072,6122.375414,6130.31188,7295.343787,7655.59421,8663.023265
Botswana,BWA,3450.811806,3206.071237,3117.250872,4230.123269,4956.692877,5391.070766,5291.583791,5529.125746,5503.073953,5082.933883,6215.732161,7287.382953,6595.53845,6666.912196,7122.364234,6141.203947,6749.059943,7104.964011,7407.959401,7172.089565,6323.297497,7807.887946,8328.709057,7826.353765
Brazil,BRA,3766.547863,3176.289751,2855.940171,3090.606891,3663.822625,4827.781659,5934.145619,7409.690038,8908.333385,8678.658473,11403.284,13396.62632,12521.72385,12458.89034,12274.99416,8936.195589,8836.28546,10080.50787,9300.660729,9029.833044,7074.194075,7972.536961,9281.332821,10377.58977
