IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NUTUNDERWEIGHTPREV,"Underweight prevalence among children under 5 years of age (%), model-based estimates",numeric,GLOBAL,Global,UN Region,18,Southern Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,7.2,,,4.9,,10.4,7.2 [4.9-10.4],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,14,Eastern Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10372,,,8217,,12983,10 372.4 [8217.2-12 982.6],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,432,Landlocked developing countries (LLDCs),Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10473,,,7369,,14630,10 472.8 [7369.0-14 630.2],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,15,Northern Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1171,,,470.8,,2808,1170.8 [470.8-2808.0],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,145,Western Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1275,,,335.9,,4426,1274.8 [335.9-4426.3],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,419,Latin America and the Caribbean,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1284,,,965.4,,1703,1283.8 [965.4-1703.3],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,21,Northern America,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,150.6,,,40.5,,260.7,150.6 [40.5-260.7],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,143,Central Asia,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,164.6,,,111.8,,241.6,164.6 [111.8-241.6],,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,53,Australia and New Zealand,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,22.2,,,,,,22.2,,,EN,2025-05-08T18:30:00.000Z
NUTUNDERWEIGHTNUM,"Underweight numbers among children under 5 years of age (millions), model-based estimates",numeric,GLOBAL,Global,UN Region,747,Western Asia and Northern Africa,Year,2024,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,2446,,,1059,,5471,2445.6 [1059.1-5470.7],,,EN,2025-05-08T18:30:00.000Z
